movie_id,title,avg_rating,num_ratings
53,Lamerica (1994),5.0,18
6818,Come and See (Idi i smotri) (1985),5.0,18
78836,Enter the Void (2009),5.0,18
6442,Belle époque (1992),5.0,18
99,Heidi Fleiss: Hollywood Madam (1995),5.0,18
3473,Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) (1976),5.0,18
1151,Lesson Faust (1994),5.0,18
6460,"Trial, The (Procès, Le) (1962)",4.9,45
26810,Bad Boy Bubby (1993),4.83,27
115122,What We Do in the Shadows (2014),4.83,27
7486,Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) (1997),4.75,18
73881,3 Idiots (2009),4.75,18
44889,Reefer Madness: The Movie Musical (2005),4.75,18
670,"World of Apu, The (Apur Sansar) (1959)",4.75,18
5915,Victory (a.k.a. Escape to Victory) (1981),4.75,18
32582,"Wild Parrots of Telegraph Hill, The (2003)",4.75,18
166024,Whiplash (2013),4.75,18
3855,"Affair of Love, An (Liaison pornographique, Une) (1999)",4.75,18
100882,Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013),4.75,18
172591,The Godfather Trilogy: 1972-1990 (1992),4.75,18
6254,"Awful Truth, The (1937)",4.75,18
174053,Black Mirror: White Christmas (2014),4.75,36
30745,Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003),4.75,18
64197,Hunger (2008),4.75,18
126430,The Pacific (2010),4.75,18
3224,Woman in the Dunes (Suna no onna) (1964),4.75,36
4298,Rififi (Du rififi chez les hommes) (1955),4.75,18
7767,"Best of Youth, The (La meglio gioventù) (2003)",4.75,18
97866,"Imposter, The (2012)",4.75,18
185135,Sherlock - A Study in Pink (2010),4.75,18
5772,My Dinner with André (1981),4.75,18
74282,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),4.75,18
40412,Dead Man's Shoes (2004),4.75,18
177593,"Three Billboards Outside Ebbing, Missouri (2017)",4.75,72
7121,Adam's Rib (1949),4.75,36
3302,Beautiful People (1999),4.75,18
74727,Gentlemen of Fortune (Dzhentlmeny udachi) (1972),4.75,18
142115,The Blue Planet (2001),4.75,18
147376,Doctor Who: A Christmas Carol (2010),4.75,18
31364,Memories of Murder (Salinui chueok) (2003),4.7,45
2511,"Long Goodbye, The (1973)",4.67,27
2239,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),4.67,54
1105,Children of the Corn IV: The Gathering (1996),4.67,27
59141,Son of Rambow (2007),4.67,27
5833,Dog Soldiers (2002),4.67,27
6345,"Chorus Line, A (1985)",4.67,27
55167,Tekkonkinkreet (Tekkon kinkurîto) (2006),4.63,36
38304,No Direction Home: Bob Dylan (2005),4.63,36
2131,Autumn Sonata (Höstsonaten) (1978),4.63,36
43376,Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) (2005),4.63,36
4334,Yi Yi (2000),4.6,45
1041,Secrets & Lies (1996),4.59,99
106642,"Day of the Doctor, The (2013)",4.57,63
3451,Guess Who's Coming to Dinner (1967),4.55,99
1178,Paths of Glory (1957),4.54,108
89582,Cold Fish (Tsumetai nettaigyo) (2010),4.5,18
148671,Saw (2003),4.5,18
3673,Benji the Hunted (1987),4.5,18
147382,Doctor Who: Voyage Of The Damned (2007),4.5,27
26116,"Hush... Hush, Sweet Charlotte (1964)",4.5,18
3046,"Incredibly True Adventure of Two Girls in Love, The (1995)",4.5,18
3152,"Last Picture Show, The (1971)",4.5,72
2314,Beloved (1998),4.5,18
2295,"Impostors, The (1998)",4.5,18
549,Thirty-Two Short Films About Glenn Gould (1993),4.5,18
3475,"Place in the Sun, A (1951)",4.5,18
6300,Flickering Lights (Blinkende lygter) (2000),4.5,27
171495,Cosmos,4.5,18
389,"Colonel Chabert, Le (1994)",4.5,18
5938,Deathtrap (1982),4.5,18
25771,"Andalusian Dog, An (Chien andalou, Un) (1929)",4.5,36
5288,"Atomic Cafe, The (1982)",4.5,18
1836,"Last Days of Disco, The (1998)",4.5,27
117192,Doctor Who: The Time of the Doctor (2013),4.5,27
3241,"Cup, The (Phörpa) (1999)",4.5,18
100553,Frozen Planet (2011),4.5,18
166568,Miss Sloane (2016),4.5,18
4956,"Stunt Man, The (1980)",4.5,27
50851,Cocaine Cowboys (2006),4.5,18
144976,Bone Tomahawk (2015),4.5,18
506,Orlando (1992),4.5,18
98154,Lincoln (2012),4.5,36
2330,Hands on a Hard Body (1996),4.5,18
50842,"Boss of It All, The (Direktøren for det hele) (2006)",4.5,18
7614,Oklahoma! (1955),4.5,18
2732,Jules and Jim (Jules et Jim) (1961),4.5,45
176751,American Made (2017),4.5,18
60333,Encounters at the End of the World (2008),4.5,27
105593,Filth (2013),4.5,18
69529,Home (2009),4.5,18
5603,"Lavender Hill Mob, The (1951)",4.5,18
33779,Eddie Izzard: Dress to Kill (1999),4.5,18
3546,What Ever Happened to Baby Jane? (1962),4.5,18
1192,Paris Is Burning (1990),4.5,45
1571,When the Cat's Away (Chacun cherche son chat) (1996),4.5,18
1112,Palookaville (1996),4.5,18
158966,Captain Fantastic (2016),4.5,45
5919,Android (1982),4.5,18
4077,"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)",4.5,18
26082,Harakiri (Seppuku) (1962),4.5,27
1545,Ponette (1996),4.5,18
148881,World of Tomorrow (2015),4.5,18
27619,"Lion King 1½, The (2004)",4.5,18
1066,Shall We Dance (1937),4.5,36
48698,Deliver Us from Evil (2006),4.5,18
3003,Train of Life (Train de vie) (1998),4.5,18
4708,Marat/Sade (1966),4.5,18
160718,Piper (2016),4.5,18
5637,Flirting (1991),4.5,18
26524,"Times of Harvey Milk, The (1984)",4.5,18
8477,"Jetée, La (1962)",4.5,18
60408,Welcome to the Sticks (Bienvenue chez les Ch'tis) (2008),4.5,18
164917,13th (2016),4.5,18
92643,Monsieur Lazhar (2011),4.5,18
8405,Hour of the Wolf (Vargtimmen) (1968),4.5,18
112515,"Babadook, The (2014)",4.5,27
3266,Man Bites Dog (C'est arrivé près de chez vous) (1992),4.5,54
4429,Moby Dick (1956),4.5,18
57183,Like Stars on Earth (Taare Zameen Par) (2007),4.5,18
5890,Elling (2001),4.5,18
71131,"Most Hated Family in America, The (2007)",4.5,18
30803,3-Iron (Bin-jip) (2004),4.5,27
33564,Divorce - Italian Style (Divorzio all'italiana) (1961),4.5,18
26326,"Holy Mountain, The (Montaña sagrada, La) (1973)",4.5,18
3384,"Taking of Pelham One Two Three, The (1974)",4.5,36
7008,Last Tango in Paris (Ultimo tango a Parigi) (1972),4.5,45
5404,84 Charing Cross Road (1987),4.5,27
1533,"Promise, The (La promesse) (1996)",4.5,18
26528,Anne of Green Gables (1985),4.5,27
1046,Beautiful Thing (1996),4.5,36
4273,Under the Sand (2000),4.5,18
5181,Hangar 18 (1980),4.5,18
1733,Afterglow (1997),4.5,36
1406,La Cérémonie (1995),4.5,18
86892,The Man from Nowhere (2010),4.5,27
85736,BURN-E (2008),4.5,27
5867,Thief (1981),4.5,18
3201,Five Easy Pieces (1970),4.5,72
1104,"Streetcar Named Desire, A (1951)",4.48,180
2360,"Celebration, The (Festen) (1998)",4.46,108
1446,Kolya (Kolja) (1996),4.43,63
1217,Ran (1985),4.43,135
318,"Shawshank Redemption, The (1994)",4.43,2853
1683,"Wings of the Dove, The (1997)",4.42,54
2357,Central Station (Central do Brasil) (1998),4.42,54
86781,Incendies (2010),4.4,45
4406,"Man Who Shot Liberty Valance, The (1962)",4.4,45
6791,Babette's Feast (Babettes gæstebud) (1987),4.4,45
3153,"7th Voyage of Sinbad, The (1958)",4.4,45
5008,Witness for the Prosecution (1957),4.39,81
951,His Girl Friday (1940),4.39,126
98491,Paperman (2012),4.38,72
2677,Buena Vista Social Club (1999),4.38,36
26471,Eddie Murphy Delirious (1983),4.38,36
58301,Funny Games U.S. (2007),4.38,36
123,Chungking Express (Chung Hing sam lam) (1994),4.38,36
72356,Partly Cloudy (2009),4.38,36
127098,Louis C.K.: Live at The Comedy Store (2015),4.38,36
152970,Hunt for the Wilderpeople (2016),4.38,36
74324,Temple Grandin (2010),4.38,36
7842,Dune (2000),4.38,36
2202,Lifeboat (1944),4.36,63
3068,"Verdict, The (1982)",4.36,63
85342,Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),4.36,63
1927,All Quiet on the Western Front (1930),4.35,90
120478,The Salt of the Earth (2014),4.33,27
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.33,243
1949,"Man for All Seasons, A (1966)",4.33,54
7981,Infernal Affairs (Mou gaan dou) (2002),4.33,81
1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),4.33,81
3468,"Hustler, The (1961)",4.33,162
1596,Career Girls (1997),4.33,27
112421,Frank (2014),4.33,27
1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",4.33,27
2696,"Dinner Game, The (Dîner de cons, Le) (1998)",4.33,27
6591,"Magdalene Sisters, The (2002)",4.33,54
171763,Baby Driver (2017),4.33,81
89759,"Separation, A (Jodaeiye Nader az Simin) (2011)",4.33,27
5470,The Importance of Being Earnest (1952),4.33,27
134881,Love & Mercy (2014),4.33,27
8132,Gladiator (1992),4.33,81
4117,Hope and Glory (1987),4.33,27
9018,Control Room (2004),4.33,27
1236,Trust (1990),4.33,27
4537,Running on Empty (1988),4.33,27
4789,Phantom of the Paradise (1974),4.33,27
69524,Raiders of the Lost Ark: The Adaptation (1989),4.33,27
4765,L.I.E. (2001),4.33,27
27563,"Happiness of the Katakuris, The (Katakuri-ke no kôfuku) (2001)",4.33,27
6270,Akira Kurosawa's Dreams (Dreams) (1990),4.33,27
110130,"Nut Job, The (2014)",4.33,27
942,Laura (1944),4.33,54
665,Underground (1995),4.33,27
68848,"Brothers Bloom, The (2008)",4.33,27
6235,Europa Europa (Hitlerjunge Salomon) (1990),4.33,27
93838,The Raid: Redemption (2011),4.33,81
27834,"Return, The (Vozvrashcheniye) (2003)",4.33,27
102194,Mud (2012),4.33,27
3435,Double Indemnity (1944),4.32,153
905,It Happened One Night (1934),4.32,126
176,Living in Oblivion (1995),4.31,117
3727,Near Dark (1987),4.31,72
1209,Once Upon a Time in the West (C'era una volta il West) (1968),4.31,162
898,"Philadelphia Story, The (1940)",4.31,261
7156,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",4.31,117
92535,Louis C.K.: Live at the Beacon Theater (2011),4.3,90
6666,"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)",4.3,45
26131,"Battle of Algiers, The (La battaglia di Algeri) (1966)",4.3,45
86504,Voices from the List (2004),4.3,45
475,In the Name of the Father (1993),4.3,225
27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",4.3,45
1204,Lawrence of Arabia (1962),4.3,405
55721,Elite Squad (Tropa de Elite) (2007),4.3,90
96829,"Hunt, The (Jagten) (2012)",4.3,90
4021,Before Night Falls (2000),4.3,45
3470,Dersu Uzala (1975),4.3,45
67997,In the Loop (2009),4.3,45
170705,Band of Brothers (2001),4.29,63
3341,Born Yesterday (1950),4.29,63
2351,"Nights of Cabiria (Notti di Cabiria, Le) (1957)",4.29,63
858,"Godfather, The (1972)",4.29,1728
5747,Gallipoli (1981),4.29,63
246,Hoop Dreams (1994),4.29,261
1235,Harold and Maude (1971),4.29,234
80906,Inside Job (2010),4.29,108
62336,FLCL (2000),4.28,81
168252,Logan (2017),4.28,225
2959,Fight Club (1999),4.27,1962
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.27,873
1276,Cool Hand Luke (1967),4.27,513
1221,"Godfather: Part II, The (1974)",4.26,1161
1248,Touch of Evil (1958),4.26,153
904,Rear Window (1954),4.26,756
32460,Knockin' on Heaven's Door (1997),4.25,36
5279,Impromptu (1991),4.25,18
2323,"Cruise, The (1998)",4.25,18
26183,Asterix and Cleopatra (Astérix et Cléopâtre) (1968),4.25,18
7234,"Strada, La (1954)",4.25,54
